date,tracking_code,campaignname,adgroup,keyword,Impressions,Clicks, cost 
2016-12-25,ps_msn_38829,B2C_BR_Roth IRA_Standard,Company X  Roth IRA Broad Match Modify,+company +x roth ira,75.00,7,59.99
2016-12-25,ps_ggl_41989,B2C_NB_401K_Standard,401K Plan Exact,401k plan,95.00,7,71.30
2016-12-25,ps_ggl_41250,B2C_NB_403B_Standard,403B Plan Exact,403 b plan,93.00,7,87.26
2016-12-25,ps_ggl_60280,B2C_NB_Election 2016_Standard_DT,Donald Trump Healthcare Broad Match Modified,+trump +ACA,55.00,7,46.73
2016-12-25,ps_msn_63826,B2C_NB_Fed Volatility_Standard,Interest Rate History Broad Match Modified,+historical +interest +rates,21.00,7,9.17
2016-12-25,ps_ggl_63174,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+interest +rate +projections,64.00,7,34.31
2016-12-25,ps_ggl_63135,B2C_NB_Fed Volatility_Standard,Interest Rate Hike Broad Match Modified,+interest +rate +hike,99.00,7,34.60
2016-12-25,ps_msn_63950,B2C_NB_Fed Volatility_Standard,Treasury Broad Match Modified,+treasury +bonds,103.00,7,9.40
2016-12-25,ps_ggl_63331,B2C_NB_Fed Volatility_Standard,Interest Rates Going Up Broad Match Modified,+interest +rates +going +up,128.00,7,38.18
2016-12-25,ps_ggl_63178,B2C_NB_Fed Volatility_Standard,Interest Rates Increase Broad Match Modified,+interest +rate +increase,245.00,7,25.52
2016-12-25,ps_ggl_63272,B2C_NB_Fed Volatility_Standard,Treasury Broad Match Modified,+treasury +yields,370.00,7,49.71
2016-12-25,ps_ggl_41582,B2C_BR_Mutual Funds_Standard,Company X  Mutual Funds Broad Match Modify,+company +x company mutual,26.00,8,5.84
2016-12-25,ps_msn_63829,B2C_NB_Fed Volatility_Standard,Interest Rates Today Exact,interest rates today,43.00,8,16.99
2016-12-25,ps_ggl_63236,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+interest +rate +usa,98.00,8,32.88
2016-12-25,ps_ggl_50920,B2C_NB_Market Fluctuations_Four Principles,Market/Economic Returns Broad Match Modify,+market +returns,306.00,8,25.39
2016-12-25,ps_msn_63901,B2C_NB_Fed Volatility_Standard,Interest Rates Raise Broad Match Modified,+interest +rate +rise,24.00,9,29.12
2016-12-25,ps_ggl_63240,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+interest +rate +now,108.00,9,85.12
2016-12-25,ps_ggl_63171,B2C_NB_Fed Volatility_Standard,Federal Reserve Broad Match Modified,+federal +reserve +rate,111.00,9,44.93
